cell_line,selected_method,strongest_nonlearned_baseline,map_difference,bootstrap_95_low,bootstrap_95_high
A375,shrinkage_lda,ssgsea_hallmark,0.05015964091046013,0.010507895374947052,0.0929957150211265
A549,shrinkage_lda,ssgsea_hallmark,0.07588262233726704,0.05031335549535524,0.10480570451643635
HA1E,shrinkage_lda,ssgsea_hallmark,0.050054410760895576,0.014178251683354005,0.08632167511887694
HT29,shrinkage_lda,ssgsea_hallmark,0.08387967022412698,0.04240919788186644,0.12186259621127847
PC3,shrinkage_lda,ssgsea_hallmark,0.06758422358370728,0.02437910729569839,0.11050513612872825
