split,method,mean_average_precision,nearest_neighbor_accuracy,top5_hit_rate,queries,compounds
validation,filzen_continuous,0.08058876260768529,0.11739130434782609,0.28695652173913044,460,34
validation,filzen_binary,0.06496074146313038,0.05217391304347826,0.10869565217391304,460,34
test,filzen_continuous,0.07300121871122399,0.12842105263157894,0.27157894736842103,475,34
test,filzen_binary,0.08172858270707946,0.07578947368421053,0.07578947368421053,475,34
