label,selected_method,baseline,map_difference,bootstrap_95_low,bootstrap_95_high,bootstrap_draws
moa,shrinkage_lda,raw_cosine,0.08180039209175223,0.02348596415702251,0.13551786352683126,2000
moa,shrinkage_lda,ssgsea_hallmark,0.08575906313177947,0.03935090520641399,0.14254737886969296,2000
moa,shrinkage_lda,replicate_contrastive,0.08051336444828612,0.05281783139258247,0.11215148635760275,2000
moa,shrinkage_lda,filzen_continuous,0.16629780514706277,0.10231099050721887,0.23187185466574434,2000
moa,shrinkage_lda,filzen_binary,0.24587052810579763,0.15915824383117722,0.32632138998543714,2000
