pert_id,rna_plate,average_precision,top1_correct,top5_hit,cell_line,method
BRD-K64800655,LJP006_A375_24H_X1_B19,0.3429162339388509,1.0,1.0,A375,raw_cosine
BRD-K67868012,LJP006_A375_24H_X1_B19,0.48202494023389547,1.0,1.0,A375,raw_cosine
BRD-K72414522,LJP006_A375_24H_X1_B19,0.20784525416104366,0.0,1.0,A375,raw_cosine
BRD-K79090631,LJP006_A375_24H_X1_B19,0.41676350187462263,1.0,1.0,A375,raw_cosine
BRD-K99545815,LJP006_A375_24H_X1_B19,0.1542995654357653,0.0,1.0,A375,raw_cosine
BRD-K99749624,LJP006_A375_24H_X1_B19,0.009220457581769955,0.0,0.0,A375,raw_cosine
BRD-A39996500,LJP006_A375_24H_X2_B19,0.49181400102197237,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP006_A375_24H_X2_B19,0.2888775283281582,1.0,1.0,A375,raw_cosine
BRD-K13390322,LJP006_A375_24H_X2_B19,0.38065656565656564,1.0,1.0,A375,raw_cosine
BRD-K19687926,LJP006_A375_24H_X2_B19,0.23519209901275598,1.0,1.0,A375,raw_cosine
BRD-K20285085,LJP006_A375_24H_X2_B19,0.04062220884138692,0.0,0.0,A375,raw_cosine
BRD-K23984367,LJP006_A375_24H_X2_B19,0.06294318846941763,0.0,0.0,A375,raw_cosine
BRD-K40175214,LJP006_A375_24H_X2_B19,0.4250266692371955,1.0,1.0,A375,raw_cosine
BRD-K41895714,LJP006_A375_24H_X2_B19,0.028613662919098636,0.0,0.0,A375,raw_cosine
BRD-K49075727,LJP006_A375_24H_X2_B19,0.2741415174765559,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP006_A375_24H_X2_B19,0.2391643420120555,1.0,1.0,A375,raw_cosine
BRD-K49865102,LJP006_A375_24H_X2_B19,0.18821681543882718,0.0,1.0,A375,raw_cosine
BRD-K51313569,LJP006_A375_24H_X2_B19,0.9111111111111111,1.0,1.0,A375,raw_cosine
BRD-K52911425,LJP006_A375_24H_X2_B19,0.020535870832972418,0.0,0.0,A375,raw_cosine
BRD-K57080016,LJP006_A375_24H_X2_B19,0.28810606060606064,1.0,1.0,A375,raw_cosine
BRD-K64800655,LJP006_A375_24H_X2_B19,0.4167427628338122,1.0,1.0,A375,raw_cosine
BRD-K67868012,LJP006_A375_24H_X2_B19,0.260912583003506,1.0,1.0,A375,raw_cosine
BRD-K72414522,LJP006_A375_24H_X2_B19,0.28275058275058274,0.0,1.0,A375,raw_cosine
BRD-K79090631,LJP006_A375_24H_X2_B19,0.3433268811067945,0.0,1.0,A375,raw_cosine
