cohort,method,mean_reciprocal_rank,top1_accuracy,top5_hit_rate,queries,compounds
phase1_test,raw_mean_consensus,0.23368953704738415,0.13263157894736843,0.29473684210526313,475,34
phase1_test,raw_modz_consensus,0.25683344722380835,0.15368421052631578,0.32421052631578945,475,34
phase2_mcf7,raw_mean_consensus,0.4746526461697524,0.37258347978910367,0.5869947275922671,569,81
phase2_mcf7,raw_modz_consensus,0.46102023637651407,0.34973637961335674,0.5834797891036907,569,81
