epoch,training_loss,validation_map_continuous
1,3.183252714574337,0.05380408038422153
2,2.013316974043846,0.05091125844647285
3,2.13143876940012,0.04975221251506184
4,2.05250696092844,0.05174466230529287
5,2.0242069363594055,0.052521463741075886
6,2.0485233813524246,0.05411576032810024
7,2.041625536978245,0.05468076026711657
8,2.0128139182925224,0.05642666200300316
9,1.997953437268734,0.05731022607434294
10,2.0436405390501022,0.05892180103574325
11,2.030479960143566,0.05655244329902442
12,2.085188791155815,0.05846350523952782
13,1.989110492169857,0.05962663528528668
14,2.042156882584095,0.059292042560620054
15,2.0259324312210083,0.05939162718551771
16,2.010838083922863,0.061155801427984324
17,2.0547235161066055,0.060255147471310715
18,2.008140653371811,0.0651213485960582
19,2.0327047556638718,0.06257421536375533
20,2.077167108654976,0.0620286431286117
21,1.9898610040545464,0.06113211433227287
22,2.0915681943297386,0.0622474190685857
23,1.940992347896099,0.06260911194153315
24,2.0446707233786583,0.06191728389858705
25,1.9745031893253326,0.06147064185926351
26,2.0052869841456413,0.06384001517780735
27,2.013859398663044,0.06777005707814128
28,2.006692185997963,0.06697198537810105
29,2.009213835000992,0.06573251398155039
30,2.003428153693676,0.06923472965410417
31,2.0292763486504555,0.06612916280277355
32,2.036493495106697,0.06743675731611352
33,2.0183444768190384,0.06877095688100995
34,2.0276633501052856,0.06998223428174027
35,2.019721709191799,0.07291193852368003
36,1.9923451989889145,0.07071802085439971
37,1.986169807612896,0.07291625012896512
38,2.0422286614775658,0.06967564601330692
39,2.0129887834191322,0.07209499137661861
40,2.0426944568753242,0.0735302966643681
41,2.068234421312809,0.07131444421802222
42,1.9971488192677498,0.07099935791147609
43,2.068546898663044,0.07173231002319384
44,2.0297986268997192,0.07244833326430444
45,2.076734811067581,0.07309159267386138
46,2.0054688900709152,0.07408458767139309
47,2.0891484394669533,0.07334104718618585
48,1.9853042513132095,0.08058876260768529
49,2.0332206040620804,0.07774612914533947
50,1.9422198310494423,0.07273595162054379
51,2.022344097495079,0.06969498273912117
52,2.0311607494950294,0.0738668604256541
53,2.088866539299488,0.07512676443309893
54,2.0145130455493927,0.07292454029864337
55,2.0218620896339417,0.07478556541996557
56,1.9809961393475533,0.07738404399262307
57,1.989253394305706,0.07520835651741103
58,1.9349318072199821,0.0735152435695919
59,2.0631529092788696,0.07542374655180412
60,2.0191797018051147,0.07656711966508066
61,2.014175295829773,0.07537174151389193
62,2.04745814204216,0.07476200331356006
