pert_id,rna_plate,average_precision,top1_correct,top5_hit,split,method
BRD-K28307902,CPC004_MCF7_6H_X4,0.030750514091067122,0.0,0.0,validation,filzen_continuous
BRD-K30240666,CPC004_MCF7_6H_X4,0.04004445399610535,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC004_MCF7_6H_X4,0.026476907338835582,0.0,0.0,validation,filzen_continuous
BRD-K39987650,CPC004_MCF7_6H_X4,0.25709619024088187,0.0,1.0,validation,filzen_continuous
BRD-K46937689,CPC004_MCF7_6H_X4,0.056991956558432595,0.0,1.0,validation,filzen_continuous
BRD-K54233340,CPC004_MCF7_6H_X4,0.7526378849908262,1.0,1.0,validation,filzen_continuous
BRD-K60762818,CPC004_MCF7_6H_X4,0.027850796139491842,0.0,0.0,validation,filzen_continuous
BRD-K68507560,CPC004_MCF7_6H_X4,0.041076214630454216,0.0,0.0,validation,filzen_continuous
BRD-K79131256,CPC004_MCF7_6H_X4,0.05865195683639071,0.0,0.0,validation,filzen_continuous
BRD-A06352418,CPC004_MCF7_6H_X5,0.03244654822486395,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC004_MCF7_6H_X5,0.03658908598976018,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC004_MCF7_6H_X5,0.07676300170751295,0.0,1.0,validation,filzen_continuous
BRD-A29734509,CPC004_MCF7_6H_X5,0.037279093529368756,0.0,0.0,validation,filzen_continuous
BRD-A42759514,CPC004_MCF7_6H_X5,0.07381287840306452,0.0,0.0,validation,filzen_continuous
BRD-A64977602,CPC004_MCF7_6H_X5,0.03370435010754618,0.0,0.0,validation,filzen_continuous
BRD-A66559694,CPC004_MCF7_6H_X5,0.04912200930912672,0.0,0.0,validation,filzen_continuous
BRD-A91699651,CPC004_MCF7_6H_X5,0.04695681606563684,0.0,0.0,validation,filzen_continuous
BRD-A97701745,CPC004_MCF7_6H_X5,0.06827801184547075,0.0,1.0,validation,filzen_continuous
BRD-K25224017,CPC004_MCF7_6H_X5,0.025887689412433683,0.0,0.0,validation,filzen_continuous
BRD-K28307902,CPC004_MCF7_6H_X5,0.040493047381190674,0.0,0.0,validation,filzen_continuous
BRD-K30240666,CPC004_MCF7_6H_X5,0.023779337944705624,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC004_MCF7_6H_X5,0.032169578717060464,0.0,0.0,validation,filzen_continuous
BRD-K39987650,CPC004_MCF7_6H_X5,0.02172429401659544,0.0,0.0,validation,filzen_continuous
BRD-K46937689,CPC004_MCF7_6H_X5,0.04951123626154048,0.0,0.0,validation,filzen_continuous
BRD-K54233340,CPC004_MCF7_6H_X5,0.24165778896954332,0.0,1.0,validation,filzen_continuous
BRD-K60762818,CPC004_MCF7_6H_X5,0.056605405744468124,0.0,0.0,validation,filzen_continuous
BRD-K68507560,CPC004_MCF7_6H_X5,0.04487231151127133,0.0,0.0,validation,filzen_continuous
BRD-K79131256,CPC004_MCF7_6H_X5,0.0484586160632531,0.0,0.0,validation,filzen_continuous
BRD-K86301799,CPC004_MCF7_6H_X5,0.03816079675848013,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC005_MCF7_6H_X1,0.02355112650070977,0.0,0.0,validation,filzen_continuous
BRD-K11129031,CPC005_MCF7_6H_X1,0.04687751671531095,0.0,0.0,validation,filzen_continuous
BRD-K55127134,CPC005_MCF7_6H_X1,0.04202603159891093,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC005_MCF7_6H_X2,0.037025112936158754,0.0,0.0,validation,filzen_continuous
BRD-K11129031,CPC005_MCF7_6H_X2,0.019956433820581612,0.0,0.0,validation,filzen_continuous
BRD-K55127134,CPC005_MCF7_6H_X2,0.019011724357614168,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC005_MCF7_6H_X3,0.04461177846038003,0.0,0.0,validation,filzen_continuous
BRD-K11129031,CPC005_MCF7_6H_X3,0.07490613142969563,0.0,1.0,validation,filzen_continuous
BRD-K55127134,CPC005_MCF7_6H_X3,0.07170418219380956,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC005_MCF7_6H_X5,0.038502668445764825,0.0,0.0,validation,filzen_continuous
BRD-K11129031,CPC005_MCF7_6H_X5,0.042371670668962635,0.0,0.0,validation,filzen_continuous
BRD-K55127134,CPC005_MCF7_6H_X5,0.0807141919733373,0.0,1.0,validation,filzen_continuous
BRD-A91699651,CPC006_MCF7_6H_X1,0.04695332316802319,0.0,0.0,validation,filzen_continuous
BRD-K01292756,CPC006_MCF7_6H_X1,0.02759465588079887,0.0,0.0,validation,filzen_continuous
BRD-K36927236,CPC006_MCF7_6H_X1,0.05097378206471696,0.0,0.0,validation,filzen_continuous
