"gene_id","residual_variance","posterior_variance","precision_weight","prior_df","residual_df"
"780",0.178443811177623,0.1809929180002,5.52507805857295,11.7375077433574,434
"7849",0.213839981982245,0.215025202611753,4.65061763855462,11.7375077433574,434
"6193",0.339933981388422,0.337926451642335,2.95922380488406,11.7375077433574,434
"23",0.241539386123792,0.242311530650043,4.12691875338052,11.7375077433574,434
"9552",0.217487869407973,0.21928755092962,4.56022239183542,11.7375077433574,434
"387",0.172956723351023,0.175270809730573,5.70545661047155,11.7375077433574,434
"10921",0.259165525490916,0.259456628049889,3.85420872658423,11.7375077433574,434
"10285",0.235059498960128,0.236760052562095,4.22368549583647,11.7375077433574,434
"533",0.299137275528939,0.298287515710736,3.35247017501647,11.7375077433574,434
"6194",0.0573732594776421,0.0627383967640068,15.9392023318916,11.7375077433574,434
"23326",0.408137961755869,0.406529224763121,2.45984775284652,11.7375077433574,434
"351",0.141766380948609,0.144967573010284,6.89809437541637,11.7375077433574,434
"1213",0.283180638328377,0.28279122254263,3.5361776472721,11.7375077433574,434
"9761",0.194820177723432,0.196547619535364,5.08782554764075,11.7375077433574,434
"1465",1.87360901622964,1.83121620067125,0.546085164402457,11.7375077433574,434
"808",0.270826021269489,0.270572781396002,3.69586325291319,11.7375077433574,434
"5792",0.289036216303831,0.288409029225018,3.46729782589364,11.7375077433574,434
"3337",1.94120994638485,1.89724925683526,0.52707887295108,11.7375077433574,434
"7494",0.451052705565565,0.450624839775177,2.21914087225843,11.7375077433574,434
"2896",0.452356186104852,0.447804928100889,2.23311521880952,11.7375077433574,434
"3098",0.243012239881721,0.243455050528136,4.10753442095641,11.7375077433574,434
"11014",0.204720292660572,0.206172971500441,4.85029629598108,11.7375077433574,434
"6500",0.30938963780266,0.308066079470965,3.24605682559169,11.7375077433574,434
"823",0.178801066507168,0.181208003736404,5.5185200398469,11.7375077433574,434
"813",0.221956789268248,0.22296901659742,4.48492806426798,11.7375077433574,434
"1509",0.147791937266853,0.150940428935177,6.62513023882728,11.7375077433574,434
"4144",0.24130045962253,0.242481194422691,4.12403115375953,11.7375077433574,434
"3925",0.209952946834471,0.21156728930928,4.72662859776091,11.7375077433574,434
"1891",0.187022781316195,0.189053397661329,5.28951085973817,11.7375077433574,434
"8826",0.212660640418583,0.213898449340683,4.67511570599217,11.7375077433574,434
"3303",0.6138798926574,0.605668671052214,1.65106773355591,11.7375077433574,434
"3329",0.287316268998604,0.28665554072659,3.48850748694857,11.7375077433574,434
"1153",0.262340826080371,0.262324123272213,3.81207792682606,11.7375077433574,434
"5720",0.193581247081266,0.195340366351654,5.11926960452091,11.7375077433574,434
"5048",0.29509851875332,0.29442558679579,3.39644393981827,11.7375077433574,434
"10525",0.372346012619247,0.369471734180921,2.7065669914287,11.7375077433574,434
"5708",0.577287189677217,0.56909241218277,1.75718385730091,11.7375077433574,434
"2058",0.243307258291452,0.243779989498408,4.10205941044448,11.7375077433574,434
"5710",0.153649961302993,0.156566905482453,6.38704582503276,11.7375077433574,434
"5223",0.246601729730711,0.247245476340975,4.04456338210575,11.7375077433574,434
"6772",0.432105440874717,0.427598420112483,2.33864287837392,11.7375077433574,434
"2288",0.12037804378377,0.124095067097717,8.05833804185437,11.7375077433574,434
"3895",0.21150799042777,0.21282955468867,4.69859555672526,11.7375077433574,434
"10972",0.189251082905167,0.191158292339141,5.23126665217255,11.7375077433574,434
"226",1.53396533326686,1.50062426809517,0.666389329601712,11.7375077433574,434
"10099",0.218818879005997,0.219874424027613,4.54805057215029,11.7375077433574,434
"2778",1.2553139413683,1.22975313280075,0.813171337667185,11.7375077433574,434
"3091",0.180760560849793,0.183034341912205,5.46345559829238,11.7375077433574,434
"16",0.285225441341852,0.284647718032092,3.51311441002754,11.7375077433574,434
"6184",0.11911234871125,0.122860433963423,8.13931684709586,11.7375077433574,434
"10606",0.225278289429575,0.226627407175496,4.41252897195095,11.7375077433574,434
"10904",0.200385675069052,0.202059236096027,4.94904375232201,11.7375077433574,434
"3033",0.209967709806836,0.21152646060948,4.72754092853754,11.7375077433574,434
"2771",0.244435073570344,0.245052316460054,4.08076126129177,11.7375077433574,434
"9491",0.340641208755591,0.338607087542723,2.95327545343784,11.7375077433574,434
"10398",0.32561258619985,0.324105148719971,3.08541843271983,11.7375077433574,434
"4313",0.374309908958478,0.371450676182475,2.69214747507621,11.7375077433574,434
"6599",0.239528932149277,0.240532218248652,4.15744721135962,11.7375077433574,434
"9375",0.265198900780845,0.265218546929869,3.77047537427474,11.7375077433574,434
