label,method,mean_average_precision,nearest_neighbor_accuracy,top5_hit_rate,eligible_queries,annotated_compounds,eligible_annotation_terms
moa,raw_cosine,0.3234384412077525,0.3728813559322034,0.6779661016949152,59,74,21
moa,pca_64,0.27100455796748085,0.2542372881355932,0.5932203389830508,59,74,21
moa,limma_weighted,0.3320047911296831,0.3728813559322034,0.6779661016949152,59,74,21
moa,replicate_contrastive,0.3247254688512186,0.3559322033898305,0.6271186440677966,59,74,21
moa,shrinkage_lda,0.4052388332995048,0.4406779661016949,0.6949152542372882,59,74,21
moa,filzen_continuous,0.23894102815244195,0.22033898305084745,0.559322033898305,59,74,21
moa,filzen_binary,0.15936830519370712,0.1016949152542373,0.5084745762711864,59,74,21
moa,ssgsea_hallmark,0.31947977016772533,0.3559322033898305,0.6440677966101694,59,74,21
target,raw_cosine,0.29471380360798677,0.3225806451612903,0.6774193548387096,62,73,53
target,pca_64,0.270107785906611,0.25806451612903225,0.6451612903225806,62,73,53
target,limma_weighted,0.300772390494664,0.3225806451612903,0.6774193548387096,62,73,53
target,replicate_contrastive,0.2955858395519329,0.27419354838709675,0.5806451612903226,62,73,53
target,shrinkage_lda,0.37796672168235756,0.41935483870967744,0.7419354838709677,62,73,53
target,filzen_continuous,0.23019394375983085,0.1935483870967742,0.5483870967741935,62,73,53
target,filzen_binary,0.2080713395475733,0.1774193548387097,0.5645161290322581,62,73,53
target,ssgsea_hallmark,0.3388241475083126,0.43548387096774194,0.6935483870967742,62,73,53
