permutation,mean_average_precision
1,0.14202310949846692
2,0.13918160443603028
3,0.12118056319404691
4,0.14157073174601736
5,0.14632069780942578
6,0.17095854359040571
7,0.130817044533674
8,0.1452517479592584
9,0.12774937287822488
10,0.13301721890078058
11,0.13760980033667022
12,0.12610458738819785
13,0.12881669864761908
14,0.12563125871988726
15,0.13832760909114414
16,0.12983486525943969
17,0.11757830008602604
18,0.13491322222441238
19,0.12070191709661139
20,0.12391741867214622
21,0.13701932762129743
22,0.12013837136473868
23,0.16822722210444438
24,0.13835699006240695
25,0.14382101569176123
26,0.15015308829949733
27,0.13434676818317107
28,0.12726880491818823
29,0.12411026074744833
30,0.11984102909909991
31,0.13577186387011553
32,0.1381360609936422
33,0.14128891799496862
34,0.1374591621939152
35,0.1174079492068992
36,0.12373527162466756
37,0.15218179881530522
38,0.15822983706683996
39,0.13362687746845142
40,0.14678812837777608
41,0.14224022491973137
42,0.14371096413827766
43,0.1262673840363865
44,0.12233719583437568
45,0.17011241469283483
46,0.1352201430042002
47,0.12574295156211032
48,0.11653579184054118
49,0.1634507722940843
50,0.10943714730430386
51,0.14593590429415607
52,0.13798225287501983
53,0.12918860918398026
54,0.127439520980785
55,0.12485614064972346
56,0.12671995495280167
57,0.14023728812679787
58,0.13980685557152198
59,0.14000827691385118
60,0.11022502025778255
61,0.14820723543038586
62,0.11088632112110862
63,0.14407452528626863
64,0.12165228147952356
65,0.12502436061483635
66,0.1151609916133144
67,0.12700822056656363
68,0.14654131417269994
69,0.128937948223352
70,0.14372319107976772
71,0.1434337403853359
72,0.1317278590234543
73,0.1069220623563103
74,0.12709319944830805
75,0.12034205813331611
76,0.12436582579639555
77,0.1272501038189489
78,0.11924471601461994
79,0.12332955565095975
80,0.12022903222089713
81,0.16142983147264453
82,0.11863640140759071
83,0.12085231583009717
84,0.14551009377120291
85,0.11891587252120238
86,0.12635876538580995
87,0.12547240975740162
88,0.13408566056811272
89,0.12103510450569378
90,0.15600439409719463
91,0.12838566617359803
92,0.14585846048015497
93,0.14583694840788733
94,0.15232134383810972
95,0.13977283896217263
96,0.11436024855488845
97,0.1313913726635002
98,0.14679104465542536
99,0.11920853811407765
100,0.1374812206006226
101,0.16448881955741154
102,0.1496633907408565
103,0.14037890733130384
104,0.11378950455469408
105,0.11452919338817229
106,0.12411244458234934
107,0.13009861791479543
108,0.1332273827097438
109,0.12110125508810111
110,0.123411020861504
111,0.11457785703249254
112,0.12494761312339299
113,0.13318247479249914
114,0.15442598804676932
115,0.1217492319748834
116,0.12802177735285078
117,0.15006354854426746
118,0.13203761803273087
119,0.13339942962140644
120,0.13303906278248964
121,0.12677699963820413
122,0.14387532778760834
123,0.15679447497945573
124,0.14029140850158717
125,0.1398045429394899
126,0.11345823190683862
127,0.12398031739549974
128,0.15105344821037395
129,0.130844190113937
130,0.14266498047745477
131,0.12680711008178422
132,0.11834125782964744
133,0.15217863012892344
134,0.1527313317850347
135,0.13381095017799516
136,0.10743609556151888
137,0.13026850579117852
138,0.13406921902524496
139,0.11981811975493649
140,0.11567911868963872
141,0.12023453374282272
142,0.12454166228557877
143,0.12419921290682807
144,0.15001320665427073
145,0.12517639241412262
146,0.15321679428028678
147,0.11752704879756617
148,0.13222515593232137
149,0.15150860975002955
150,0.1444870804024313
151,0.14828309571519074
152,0.13024051276459825
153,0.14816540113568355
154,0.12267148990704896
155,0.1183065429305008
156,0.12961423954934606
157,0.13416851518263104
158,0.1463548356999204
159,0.13289117532340325
160,0.14598236954082744
161,0.1684263679153143
162,0.16476872909313822
163,0.13091323764750762
164,0.14284508296524515
165,0.10761620073433634
166,0.1320215693347255
167,0.1266780815763973
168,0.13535292974309937
169,0.13107588943846765
170,0.12453921054782366
171,0.13834998646206587
172,0.14539535412449062
173,0.14116378984316674
174,0.13817654506534435
175,0.11680746078831697
176,0.13821870540558234
177,0.13159567014510812
178,0.12456483722580576
179,0.1275503724003678
180,0.10874476292417092
181,0.1328344884012274
182,0.12226226008188358
183,0.13074552658619018
184,0.12794682415138334
185,0.1187334840808426
186,0.10761771130522242
187,0.11184820527356806
188,0.13583892871186712
189,0.1445170208955042
190,0.1287967823270291
191,0.14181704433252038
192,0.13234268907434737
193,0.13834908516163305
194,0.14455735552396065
195,0.12587130633844318
196,0.13008495886325838
197,0.12825329112752615
198,0.11490372308325919
199,0.09983459311478561
200,0.13830064687049
201,0.14164169237211133
202,0.15079773361224397
203,0.13456120395372975
204,0.1111756211606808
205,0.12912113143384524
206,0.1134263830186331
207,0.15068466679856177
208,0.11711892118792265
209,0.14552336054839374
210,0.14365119187093325
211,0.13544817520611854
212,0.13760407256595752
213,0.13913106728289623
214,0.11935878230543473
215,0.13564810110211667
216,0.12664236217293384
217,0.12953903432457733
218,0.1480905254046396
219,0.1234738375922242
220,0.14208011914020408
221,0.1486456850701585
222,0.12378282040441085
223,0.14818573532527218
224,0.1275439359368464
225,0.11718969815234526
226,0.15934932147547776
227,0.15388247820423115
228,0.14392706053786553
229,0.12432930096799792
230,0.12227094922470397
231,0.14260150888902248
232,0.129889484736509
233,0.12825044193364424
234,0.13222302038948616
235,0.1350875698543815
236,0.13997905693020346
237,0.13984656221172617
238,0.1609816408929474
239,0.1118926743806642
240,0.14202889491798898
241,0.14556582275451233
242,0.14888145098544997
243,0.13160539984338515
244,0.1448506555320803
245,0.12090863355805219
246,0.12740931092059407
247,0.12824835143708976
248,0.13572701272186294
249,0.14707982277011136
250,0.13554711305560077
251,0.1394776693533499
252,0.1180703454901758
253,0.12529463451000294
254,0.1112772795411278
255,0.13342272200323418
256,0.13106142614946498
257,0.11289402117704107
258,0.12457342778175054
259,0.1295928434342462
260,0.11577353403209825
261,0.11828160980048993
262,0.15276351039134028
263,0.11217843213202609
264,0.1284569842516897
265,0.1139608769603475
266,0.16664395157528772
267,0.10066034864540814
268,0.1797497518787288
269,0.15163817267809487
270,0.12823062415334843
271,0.13649429659449763
272,0.1082804650743267
273,0.15421817473690164
274,0.11672583676545266
275,0.1140452386868166
276,0.1482928365095423
277,0.14584908723514522
278,0.12512285257935926
279,0.14750545960946188
280,0.130207601767869
281,0.1192011748559215
282,0.11255775470603252
283,0.14678288659093264
284,0.11100902689786943
285,0.1369584021739535
286,0.15674130595374805
287,0.1151471662927993
288,0.12299946209079853
289,0.10666990830352792
290,0.1418881462234551
291,0.1335627257396722
292,0.1281538785655104
293,0.1272353061857276
294,0.12383793413597854
295,0.13051609952238968
296,0.11534523697517253
297,0.16635542256722136
298,0.13114818901971814
299,0.12750971372804393
300,0.10557167730135518
301,0.1202656803006065
302,0.12475208108406613
303,0.11378365942438239
304,0.12551405325478443
305,0.13869786939436896
306,0.1259342926108324
307,0.11537986581258683
308,0.1288027203238177
309,0.1300909951538898
310,0.13603808919948995
311,0.11248896269414034
312,0.15257813562887554
313,0.13054765532044893
314,0.12306093169264937
315,0.14288090151823296
316,0.1500767838981498
317,0.10830794946666966
318,0.1245803020924473
319,0.14826587154976376
320,0.13535150779948693
321,0.14298192490205425
322,0.12637450416928886
323,0.12853989831564994
324,0.13877990401990234
325,0.11964686152094603
326,0.12388750583925652
327,0.15629223258199534
328,0.1216762960525387
329,0.12757110069540564
330,0.12113690041761767
331,0.1241873090221971
332,0.1522297488338129
333,0.1327982767858919
334,0.1344116907968966
335,0.11672642052936158
336,0.12205433311318518
337,0.14563242185047076
338,0.1347119535649912
339,0.1468523798571718
340,0.13465208156055958
341,0.1590468601826635
342,0.13427284237243853
343,0.1243167230127455
344,0.1236468748197755
345,0.12115096009797305
346,0.14252288814137137
347,0.13214614398958735
348,0.11686925621819405
349,0.1243055793218968
350,0.11533502896438753
351,0.12538470910411745
352,0.12534070965182031
353,0.1262852163197806
354,0.12219533146759531
355,0.11177217381375965
356,0.14693287349193146
357,0.12303162468492886
358,0.1266994889678153
359,0.11676196878274868
360,0.12080324328748039
361,0.1468169737520639
362,0.12772971997159904
363,0.13349731705873352
364,0.13192378547577668
365,0.12026377369721938
366,0.1435339965204292
367,0.13402181561189525
368,0.1224753933234707
369,0.11822143880320332
370,0.12689079947199292
371,0.12747017934411542
372,0.12191701128823881
373,0.13751958609668635
374,0.13250650782145798
375,0.1366895405898895
376,0.15777997816525813
377,0.11206214299635552
378,0.1268844016472505
379,0.15685259645056185
380,0.12241424826468568
381,0.1283069430141642
382,0.1277236239312225
383,0.16082440359738778
384,0.1527479686617582
385,0.11804554908039737
386,0.12703570683237053
387,0.1531324073468601
388,0.12050579406892921
389,0.10783779509127392
390,0.13635831831048584
391,0.15381870402876355
392,0.13021853214063872
393,0.13331986633366447
394,0.13565782006172003
395,0.1235514578730355
396,0.15860127263205398
397,0.12340440219761628
398,0.11989345491892749
399,0.13447338034017556
400,0.12753055854344333
401,0.1526459101277712
402,0.1244185164936445
