gene_id,direction_1,direction_2,direction_3,direction_4,direction_5,direction_6,direction_7,direction_8,direction_9,direction_10,direction_11,direction_12,direction_13,direction_14,direction_15,direction_16,direction_17,direction_18,direction_19,direction_20,direction_21,direction_22,direction_23,direction_24,direction_25,direction_26,direction_27,direction_28,direction_29,direction_30,direction_31,direction_32
780,0.10514873694930683,0.1424820784558131,0.024496376322247482,0.13372940287806548,0.20915161067478347,-0.03928215385163086,0.24617107571841354,-0.1360185187945156,0.26837831704853293,-0.10634912175808821,0.2625838742898948,-0.22218696444825195,-0.3048627075677517,-0.051367083104514946,-0.020386593669538284,-0.026558462106536024,0.039678979557346686,0.15336119325532474,-0.009064595351927994,-0.04821631081211939,0.07013413435640413,-0.027230677186737984,0.2866482826781881,-0.10481748563642437,0.2579515277982174,-0.12362554404715588,0.1444496851155667,-0.10565480733462246,-0.06475935956290026,0.15595281258369673,-0.16706416668261834,-0.11483735799332236
7849,-0.041835781854031126,0.07316154254501785,-0.19694465214942733,-0.024514431844262923,-0.01724650241683836,-0.1406172460080806,-0.08685533123526545,-0.043473761149191735,0.07006194678927649,0.02734627097603123,0.04847922818841584,-0.20133768173041958,0.06973119929857172,0.12925609319132522,-0.057314894580075805,0.08005080536619529,-0.0687739271619508,0.00839086709107561,-0.1158693375707577,0.2420661676022849,0.015010507994447008,-0.06173558402778739,0.11254567899232114,-0.1052451829750767,-0.010363883936337413,-0.06481817588437645,-0.09732591450400248,-0.019425413991250487,-0.04811206914487093,-0.12990826103786962,0.17971171430088473,-0.023148717445147623
6193,-0.1208169087856911,-0.1454065045452053,0.09012804994508664,0.0738018332101416,-0.07019050041084039,0.23192209796277896,-0.05453745786194544,0.062215942470217334,-0.0625254850563379,-0.09704288073273999,-0.06818218230880765,0.15973508659303973,0.06276517769338207,-0.07880428881524545,0.060312825348589776,0.09628158232947467,-0.06913573027572764,0.17400755129241158,0.14939155757136072,-0.17918694410179764,-0.032737170288509296,-0.06140590668863598,0.03385496834711877,0.043974882837109576,0.2140717907598505,-0.19624551090561831,-0.07100634805456718,-0.09169649585765854,0.07678315791682039,-0.08706922205746019,0.0360926721021696,0.07192127668598937
23,-0.013057222073465236,0.11889612464706273,-0.10791135571056315,-0.025738617318045547,0.015541241742083222,-0.016537189917629747,0.10657750264128867,0.09320207123242624,-0.05225628508715471,-0.2802736046656096,-0.10477863169641953,0.1286703626881754,0.12754155679382487,-0.02947513680846267,-0.1837941960425375,-0.041937196242285354,-0.08817213540129419,0.02364181199036555,-0.05577273813255478,-0.07493853358795932,-0.0983897177349435,-0.22013109724393068,-0.01667406073547453,0.031039281187192333,0.08424401192926557,-0.10638285007490987,-0.07678249108543495,0.06642651680698096,-0.03889053436049233,0.08145043812812715,0.06065504390394588,0.0822122591810301
9552,0.29551880774605643,-0.10010356397972983,-0.09707732639018271,-0.24646927060625584,0.4450478546968813,0.037834672043946804,0.022869198815771794,0.05679893403880577,0.2197620413608743,-0.08924465420123359,0.01868937807459043,-0.3425460900796126,0.004439726708055921,0.0578364156900234,-0.06996724009222906,0.091303105280254,0.10036497590453354,-0.045453990768511,0.29746776232250133,0.14933198978672282,0.22959765685241512,0.14235827763886383,-0.06808457127746902,-0.09897755767022862,0.2076225291528014,-0.05929566797203315,-0.36936344593161496,0.2243383709219311,-0.23741947234806962,-0.16679446314184018,0.14428632678244588,0.302229571340081
387,-0.03743802864537728,0.18330917690029092,-0.0021507703676410996,-0.03321982338080508,-0.025366557867588537,0.13236201115986712,-0.2660842023751817,-0.15861830798173143,0.07526785697180267,0.16354169790665254,0.24283034973898476,0.12567413209661304,0.11729876938355115,-0.29555835391501445,0.06194336788787925,-0.04156208126800926,0.0017012531861768986,0.21972925433518475,0.21077891042002464,-0.18815245395309485,0.18468380624134748,0.05052866205986438,-0.2803620124572101,0.12244539254976962,0.05108459004107156,-0.2869384411865522,-0.1695443612621049,-0.2369572415077663,0.02031725351089688,0.19589459034086326,-0.06833860790248894,0.4273000621110097
10921,-0.18909440707870204,0.09821948562357946,0.021761746876286663,0.03515282742548444,0.07090620589201038,-0.31679732984701525,-0.20340521619007368,0.01675987289894456,-0.2686492872585472,-0.06608053822981208,-0.17467551038786738,0.04539334154242966,-0.027354408970423755,-0.19620956468076747,0.1531451070979663,-0.08468466111583617,0.023379965979843702,0.05380013777987435,-0.05455738636893452,0.029451659525744026,0.15225009908957327,0.32255474158369035,-0.09507302009442313,-0.1515064124571905,0.03551554528705383,0.07831020575553556,0.12039993335146303,-0.11690242001635076,0.24220659949450607,0.15692820758127835,0.17137500742236858,0.15203101543695663
10285,-0.14759994021867617,-0.0950067224230694,-0.1825067063628133,-0.0278905364452651,0.04572509520048925,-0.23029497877508345,0.04777390363033401,-0.05027286891576074,0.09039306462779562,0.15782369115933303,0.23944947140213213,0.056101042860599026,-0.08633559834946077,-0.030233912757064735,-0.08414286133143255,0.12173353202852367,0.10057275424218588,-0.12112339820241351,0.004582719261168907,0.26105898644465014,-0.3152064754702906,0.569916720449964,0.38661062469768087,0.012670555426189896,-0.24198329736945212,-0.18257611448125835,0.15686234993798545,-0.17678002344435287,-0.36421195399846196,0.19576749767941398,-0.047799669464700094,-0.0050923829671323225
533,0.20786060045184418,0.015142178479692644,0.10859108620872608,-0.20956033923545783,-0.19800559824452676,-0.2049159868260766,0.07030736743031502,0.008859213170365544,0.27026081464307367,0.25694704628790865,-0.15216758548127263,0.08114788589533509,-0.43398941759991516,-0.12168354217448894,-0.43447816054712474,-0.12968566116845223,0.1251167509281908,0.07705085712527808,0.13749160810019545,0.20467340674662016,0.09796637708630791,-0.039771750433403016,-0.11915324564127343,-0.3564800676224244,-0.13464365959609909,-0.29184440819074975,-0.23930611622859072,-0.01961754128257572,-0.09566386619046861,-0.11599353241605903,-0.18275679930564503,-0.1962291267218166
6194,-0.04088286133074166,-0.026122740058301768,0.08158638988317778,-0.06547457103842447,-0.18223654464504077,-0.16698226191711157,0.004890358941773857,-0.00529437429460789,-0.012450531137460679,0.030766051236001398,0.1685103283588226,0.1504764429472556,0.22240064724398548,-0.10313553456120904,0.005589750449503028,0.0689674784058478,-0.22439260756682808,-0.07029114031456134,-0.11881783886601414,-0.09160058237721687,0.15497470842249284,-0.10146907827809483,0.037305446939779295,0.1800793661361986,-0.09767679728134404,-0.2845344387835559,-0.07645592482782722,0.09816509203231955,-0.21810260395655698,-0.15333443175615005,-0.007013367737492432,0.08706448813900634
