epoch,training_loss,validation_mean_average_precision,validation_nearest_neighbor_accuracy
1,3.8955030523497483,0.11981672716595963,0.15434782608695652
2,3.5180345897016854,0.14792336291616517,0.1891304347826087
3,3.1456828857290335,0.16488842149256017,0.2217391304347826
4,2.991072967134673,0.16915859813144463,0.19782608695652174
5,2.5646470579607734,0.18185107664200453,0.21739130434782608
6,2.3942497927567055,0.17310897915982185,0.21304347826086956
7,2.293929831735019,0.17369750689485744,0.22608695652173913
8,2.053756204144708,0.17510646677380484,0.1956521739130435
9,1.9350636663108036,0.1784609302422518,0.21956521739130436
10,1.8135149026739186,0.17827995148490255,0.2391304347826087
11,1.751647373725628,0.18335189016755857,0.24130434782608695
12,1.646086437948819,0.17946466929077554,0.23478260869565218
13,1.57103679920065,0.18505319879742796,0.25
14,1.5258811958904923,0.18020785992636443,0.23043478260869565
15,1.562128367095158,0.18540036227298537,0.24130434782608695
16,1.481432240584801,0.18158130277445944,0.2543478260869565
17,1.4442362004312976,0.1806456471836942,0.2391304347826087
18,1.4339711912747086,0.18161823840784985,0.23043478260869565
19,1.3930353090680878,0.1803010343469267,0.23478260869565218
20,1.3877094655201352,0.18283027408815206,0.23478260869565218
21,1.40578935475185,0.18301890626298106,0.2391304347826087
22,1.368240759290498,0.1805920575641693,0.24130434782608695
23,1.347556290955379,0.17691847449994477,0.22391304347826088
24,1.3375486916509167,0.17841078188189174,0.21739130434782608
25,1.3159767841470653,0.17808730804530087,0.2108695652173913
26,1.2786062709216415,0.1817669491465417,0.22826086956521738
27,1.2920902186426624,0.18100470316205128,0.21521739130434783
28,1.296104254393742,0.17713810836524316,0.21956521739130436
29,1.2753057479858398,0.1800085835516,0.22391304347826088
30,1.2691809637793179,0.18070154780353448,0.24347826086956523
31,1.261365479436414,0.17617243784539025,0.2108695652173913
32,1.249555411009953,0.1829807517825154,0.22391304347826088
33,1.2451733597393693,0.18223412384005533,0.20652173913043478
