method,compounds,profiles,mean_average_precision,nearest_neighbor_accuracy,top5_hit_rate,queries,pair_auroc,positive_cross_plate_pairs,negative_cross_plate_pairs
shrinkage_lda,14,122,0.7744889702828298,0.8852459016393442,0.9672131147540983,122,0.9442593083540324,566,6571
contrastive_lda_ensemble,14,122,0.7208284256248593,0.8770491803278688,0.9590163934426229,122,0.9180670178904738,566,6571
replicate_contrastive,14,122,0.6013587250549391,0.7295081967213115,0.8934426229508197,122,0.8437141890725552,566,6571
limma_weighted,14,122,0.4323688665282011,0.6311475409836066,0.8360655737704918,122,0.7467609847961355,566,6571
raw_cosine,14,122,0.42347480723536407,0.6147540983606558,0.8442622950819673,122,0.7354706110423087,566,6571
pca_64,14,122,0.34820840183754953,0.5901639344262295,0.8032786885245902,122,0.6917459895794403,566,6571
