gene_id,neural_weight_norm,lda_loading_norm,neural_rank,lda_rank,combined_rank
9221,0.29359722,0.15079598345194328,472.0,624.0,548.0
5423,0.29283723,0.15140038266122732,480.0,617.0,548.5
11073,0.2749263,0.17779973911445449,724.0,373.0,548.5
64781,0.30285642,0.1383712816867427,345.0,752.0,548.5
5438,0.28286737,0.1652785347175931,618.0,480.0,549.0
55825,0.29796872,0.14557881028290423,416.0,682.0,549.0
9805,0.28821087,0.1590644760120461,559.0,541.0,550.0
10589,0.2782878,0.17067541829340377,671.0,429.0,550.0
9124,0.28286377,0.16498160298861872,619.0,482.0,550.5
10165,0.31105354,0.12519768298765171,253.0,848.0,550.5
533,0.29253003,0.15240709233392505,494.0,607.0,550.5
51024,0.28912118,0.15813356702086678,548.0,553.0,550.5
22926,0.25335443,0.21499732012143474,904.0,200.0,552.0
9801,0.2763003,0.17365593037721197,703.0,402.0,552.5
57804,0.2722678,0.17979191639580056,750.0,356.0,553.0
4998,0.303166,0.13632986643150372,338.0,770.0,554.0
1534,0.28479984,0.16071426260099533,590.0,520.0,555.0
79170,0.26663858,0.18812944130909853,803.0,308.0,555.5
3098,0.29912168,0.14248704694168984,400.0,712.0,556.0
80212,0.2725446,0.1779559814762438,745.0,371.0,558.0
664,0.27630904,0.1720852463435946,702.0,416.0,559.0
5603,0.29927653,0.14205950291582012,399.0,719.0,559.0
6117,0.28158218,0.16529373568869887,639.0,479.0,559.0
23244,0.25321144,0.21233010447549938,908.0,211.0,559.5
9448,0.32659468,0.08680353937376462,142.0,977.0,559.5
9533,0.26473776,0.18908456248518019,823.0,298.0,560.5
4200,0.31286928,0.12048683208713525,241.0,882.0,561.5
5255,0.3155567,0.11698369053416496,221.0,906.0,563.5
4125,0.27924356,0.16712687389286085,662.0,466.0,564.0
8444,0.29273072,0.14930298607633538,488.0,642.0,565.0
6915,0.28427768,0.15933284340509646,598.0,533.0,565.5
7874,0.2716114,0.1776514148435415,757.0,374.0,565.5
55748,0.28027645,0.1648626619475956,649.0,483.0,566.0
965,0.2902643,0.15305668231400557,532.0,601.0,566.5
9270,0.30319664,0.1335137118877093,336.0,798.0,567.0
79090,0.27534723,0.17247051637585084,719.0,415.0,567.0
4893,0.25772715,0.1963653582735357,876.0,261.0,568.5
1017,0.29315853,0.14705537115423956,477.0,663.0,570.0
9641,0.28246176,0.16121250886311322,627.0,513.0,570.0
1994,0.28630683,0.157208958922396,580.0,561.0,570.5
5427,0.24707757,0.2151480657217826,943.0,199.0,571.0
5110,0.26075813,0.18960800505485392,849.0,293.0,571.0
51635,0.311393,0.11909657045528478,251.0,893.0,572.0
9170,0.2962544,0.14319767526673638,440.0,705.0,572.5
2058,0.26753557,0.18025754051217402,794.0,351.0,572.5
