method,mean_average_precision,nearest_neighbor_accuracy,top5_hit_rate,queries,pair_auroc,positive_cross_plate_pairs,negative_cross_plate_pairs
shrinkage_lda,0.44462679553710033,0.6221441124780316,0.8541300527240774,569,0.8946444800996006,1987,155891
contrastive_lda_ensemble,0.3930613470230112,0.5325131810193322,0.8031634446397188,569,0.8644630708750447,1987,155891
ssgsea_hallmark,0.281774337106694,0.44991212653778556,0.6854130052724078,569,0.7648309052816339,1987,155891
replicate_contrastive,0.26197539866544284,0.3585237258347979,0.5940246045694201,569,0.8082029732509891,1987,155891
limma_weighted,0.2189863451343975,0.37258347978910367,0.5940246045694201,569,0.7116220763299839,1987,155891
raw_cosine,0.2180815312900398,0.37609841827768015,0.5852372583479789,569,0.707712068841721,1987,155891
pca_64,0.14998821799251572,0.281195079086116,0.4797891036906854,569,0.6526791717092069,1987,155891
