method,compounds,profiles,mean_average_precision,nearest_neighbor_accuracy,top5_hit_rate,queries,pair_auroc,positive_cross_plate_pairs,negative_cross_plate_pairs
shrinkage_lda,38,124,0.593632698790924,0.5645161290322581,0.9274193548387096,124,0.9104501212270284,149,5348
contrastive_lda_ensemble,38,124,0.5297497536461899,0.532258064516129,0.8225806451612904,124,0.8811699035705501,149,5348
replicate_contrastive,38,124,0.3671001471617017,0.31451612903225806,0.6532258064516129,124,0.8180753766069484,149,5348
ssgsea_hallmark,38,124,0.3040483158396763,0.27419354838709675,0.5161290322580645,124,0.7468714391129093,149,5348
limma_weighted,38,124,0.22303282440657962,0.1935483870967742,0.4596774193548387,124,0.6795904383750057,149,5348
raw_cosine,38,124,0.21388460617805874,0.20967741935483872,0.43548387096774194,124,0.6696224643974038,149,5348
pca_64,38,124,0.21084897697252844,0.1935483870967742,0.4274193548387097,124,0.657418190579932,149,5348
