permutation,mean_average_precision
1,0.021814242600275077
2,0.022833243090741518
3,0.02220281092067501
4,0.02150400696988504
5,0.023578573065235194
6,0.02337338750461306
7,0.021548053277699625
8,0.02080137654408042
9,0.025427125473665737
10,0.024191937645234838
11,0.022746916268310987
12,0.021441669678352163
13,0.022314146153180146
14,0.02454715337846441
15,0.021188491590935176
16,0.025469314580231276
17,0.023962620184916832
18,0.02465237695664106
19,0.02389089177808094
20,0.0220087866198795
21,0.02206518234135895
22,0.02292141613335051
23,0.0243946048011074
24,0.024798693386712072
25,0.023361558326632996
26,0.02225563899153613
27,0.023214627387141824
28,0.02338748771087327
29,0.023149523442857357
30,0.022066100511007734
31,0.02311739084352871
32,0.023972389589793357
33,0.02224433336738998
34,0.02362246772964717
35,0.021487016205352785
36,0.0239305775933176
37,0.021998156826819642
38,0.022621307085152722
39,0.024380719031907513
40,0.023042593948107065
41,0.02416244554798427
42,0.022992861425277157
43,0.02260136164968708
44,0.022244687427012317
45,0.020645007342866686
46,0.024928141171785205
47,0.023088290780862178
48,0.023973650548414174
49,0.023311894584352334
50,0.023915604061812062
51,0.02052921786538893
52,0.023599687261933188
53,0.02333392403725992
54,0.022915748051587456
55,0.02402204161096788
56,0.020961815338098756
57,0.02057806954456644
58,0.022969559957234403
59,0.02282240321656169
60,0.023404710623283174
61,0.023305272998070562
62,0.021504722269272837
63,0.02447463027833982
64,0.022448101380819856
65,0.023580287459107077
66,0.02402899911418259
67,0.0246115269210125
68,0.02007759218456723
69,0.02175055250888819
70,0.0229807665768117
71,0.02154986654664867
72,0.021905276375786435
73,0.02309806188491272
74,0.021028089486342768
75,0.024069431045935185
76,0.02482030715103945
77,0.023041332151645194
78,0.02298031918564329
79,0.02573904809470334
80,0.023097000744686666
81,0.02446661203782363
82,0.022889487017248585
83,0.021833427640202924
84,0.025390616142816423
85,0.022621835059409515
86,0.023937501321869437
87,0.02284012284126127
88,0.023008718407189887
89,0.023732303085691245
90,0.023159380446663998
91,0.024647623017301393
92,0.02394859366105536
93,0.02493694887410828
94,0.024189821505664268
95,0.021412443034496995
96,0.021798077919414495
97,0.02423628000564899
98,0.02376555711687282
99,0.021284448460291885
100,0.02195211407896592
101,0.02505144202897748
102,0.021840963840730726
103,0.02341300708795064
104,0.02317745690556166
105,0.022691319697534906
106,0.022306362460875376
107,0.02184874298508016
108,0.022007611874573476
109,0.020971807851970198
110,0.023833469731564246
111,0.02220604747817007
112,0.02296869271705567
113,0.023879255299160917
114,0.0251759997675618
115,0.02257699302761743
116,0.02304395673476137
117,0.022538117173264947
118,0.022217786552809055
119,0.023071014204076694
120,0.026048556108012863
121,0.022786401459053075
122,0.022552833570662654
123,0.022033000006025334
124,0.02295453028763671
125,0.021243467282645933
126,0.024054016887118047
127,0.024121897174655144
128,0.02354208219047184
129,0.026820625497649995
130,0.02417196841974574
131,0.021269936989245584
132,0.024808842417782036
133,0.023511823069658773
134,0.023935757381884387
135,0.024438199135170546
136,0.023979104570867573
137,0.02443707980905826
138,0.02189062187316947
139,0.021339570373597225
140,0.021835424359729634
141,0.021231061922173094
142,0.0224903927356677
143,0.025234805296322705
144,0.023900630374670818
145,0.023291187001761665
146,0.0261771016899827
147,0.021849730594972434
148,0.02196983644723861
149,0.024029348673499307
150,0.023196553773520253
151,0.022413146888983985
152,0.02553108427539927
153,0.021000976532421358
154,0.025775957881591077
155,0.021928194620401343
156,0.021747224363260216
157,0.021455052829649903
158,0.02487117279191222
159,0.022982636382781776
160,0.02286713586456101
161,0.022613123726595758
162,0.022410964845269093
163,0.022733169901854623
164,0.022881295496178636
165,0.022139759172743946
166,0.023327583025090363
167,0.022276979885795637
168,0.022298743053215497
169,0.021317690850252327
170,0.024383143785166476
171,0.023433361724094083
172,0.022981088222867936
173,0.021841549782916685
174,0.022840388883897108
175,0.021065517140077643
176,0.020160720125443867
177,0.025149817396996083
178,0.02408597459738756
179,0.021956392147734524
180,0.025907667555178416
181,0.02433213733844565
182,0.02584345578623967
183,0.024731808538466866
184,0.021750453264115486
185,0.02374611958096699
186,0.026013467232507193
187,0.024467893081407358
188,0.022437230118556025
189,0.024230388725267116
190,0.02265080878963983
191,0.02608712794021714
192,0.02410440187730337
193,0.022635611573194204
194,0.024002269305625153
195,0.024534820260611455
196,0.022513357527192926
197,0.022203801202296463
198,0.02475051033407705
199,0.0215163678651424
200,0.02230868695106636
